EventType,MR.GsmNcellBcc,MR.GsmNcellBcch,MR.GsmNcellCarrierRSSI,MR.GsmNcellNcc,MR.LteNcEarfcn,MR.LteNcPci,MR.LteNcRSRP,MR.LteNcRSRQ,MR.LteScCgi,MR.LteScEarfcn,MR.LteScPci,MR.LteScRSRP,MR.LteScRSRQ,MR.UtraCarrierRSSI,MR.UtraCellParameterId,MR.UtraCpichEcNo,MR.UtraCpichRSCP,MmeCode,MmeGroupId,MmeUeS1apId,TimeStamp,endTime,fileFormatVersion,id,jobid,period,reportTime,startTime
A3,NIL,NIL,NIL,NIL,1650,349,44,8,46000077256611,19650,350,45,8,NIL,NIL,NIL,NIL,210,39424,469799023,2017-11-06T01:15:09.365,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,4,46000077256611,19650,350,39,3,NIL,NIL,NIL,NIL,194,39424,352329764,2017-11-06T01:15:09.389,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,52,8,46000077256611,19650,350,51,9,NIL,NIL,NIL,NIL,194,39424,469770704,2017-11-06T01:15:09.432,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,6,46000077256611,19650,350,60,6,NIL,NIL,NIL,NIL,194,39424,167788803,2017-11-06T01:15:09.506,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,5,46000077256611,19650,350,54,11,NIL,NIL,NIL,NIL,194,39424,167787521,2017-11-06T01:15:09.719,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,50,7,46000077256611,19650,350,52,9,NIL,NIL,NIL,NIL,194,39424,352363563,2017-11-06T01:15:09.745,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,7,46000077256611,19650,350,56,13,NIL,NIL,NIL,NIL,194,39424,436257950,2017-11-06T01:15:10.203,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,41,7,46000077256611,19650,350,39,7,NIL,NIL,NIL,NIL,194,39424,352382058,2017-11-06T01:15:10.318,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,60,8,46000077256611,19650,350,60,11,NIL,NIL,NIL,NIL,194,39424,167789968,2017-11-06T01:15:10.385,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,6,46000077256611,19650,350,54,11,NIL,NIL,NIL,NIL,194,39424,167795010,2017-11-06T01:15:10.606,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,53,11,46000077256611,19650,350,52,11,NIL,NIL,NIL,NIL,194,39424,469790614,2017-11-06T01:15:10.765,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,40,6,46000077256611,19650,350,42,10,NIL,NIL,NIL,NIL,194,39424,469787420,2017-11-06T01:15:10.806,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
A3,NIL,NIL,NIL,NIL,1650,349,56,3,46000077256611,19650,350,56,8,NIL,NIL,NIL,NIL,194,39424,436236967,2017-11-06T01:15:11.133,2017-11-06T01:30:00.000,V2.0.0,197776907,0,15,2017-11-06T01:30:00.000,2017-11-06T01:15:00.000
